product_id,product_name,brand,category,subcategory,supplier_id,unit_cost,regular_unit_price,launch_date,private_label_flag,active_flag
SKU0071,Glow Serums Complex,Brightside Collective,Skincare,Serums,SUP008,4.74,11.02,2025-02-10,False,True
SKU0072,Daily Lips Blend,Luma Essentials,Cosmetics,Lips,SUP002,27.24,60.95,2025-03-31,True,True
SKU0073,Calm Immunity Therapy,Brightside Collective,Vitamins & Supplements,Immunity,SUP008,7.57,13.81,2025-03-24,False,True
SKU0074,Pure Treatment Ritual,Luma Essentials,Haircare,Treatment,SUP002,24.68,54.55,2025-03-17,False,True
SKU0075,Active Deodorant Care,Brightside Collective,Personal Care,Deodorant,SUP008,12.78,29.49,2025-04-07,False,True
SKU0076,Fresh Hydration Boost,Luma Essentials,Wellness,Hydration,SUP002,26.20,54.65,2025-04-14,False,True
SKU0077,Restore First Aid Solution,Brightside Collective,Pharmacy Essentials,First Aid,SUP008,13.86,31.51,2025-06-09,False,True
SKU0078,Essential Sun Care Formula,Solace Essentials,Skincare,Sun Care,SUP007,19.72,35.98,2025-03-24,False,True
SKU0079,Glow Face Complex,Northstar Collective,Cosmetics,Face,SUP001,10.77,24.63,2025-06-16,False,True
SKU0080,Daily Sleep Blend,Solace Essentials,Vitamins & Supplements,Sleep,SUP007,21.53,33.33,2025-04-21,False,True
SKU0081,Calm Styling Therapy,Northstar Collective,Haircare,Styling,SUP001,4.90,9.32,2025-06-02,True,True
SKU0082,Pure Body Care Ritual,Solace Essentials,Personal Care,Body Care,SUP007,26.02,48.38,2025-02-17,False,True
SKU0083,Active Stress Support Care,Northstar Collective,Wellness,Stress Support,SUP001,27.04,42.15,2025-03-17,False,True
SKU0084,Fresh Allergy Boost,Solace Essentials,Pharmacy Essentials,Allergy,SUP007,5.18,8.04,2025-03-31,False,True
SKU0085,Restore Cleansers Solution,Kindred Collective,Skincare,Cleansers,SUP006,13.39,30.20,2025-06-16,False,True
SKU0086,Essential Eyes Formula,Morrow Essentials,Cosmetics,Eyes,SUP012,9.53,18.21,2025-02-24,False,True
SKU0087,Glow General Health Complex,Kindred Collective,Vitamins & Supplements,General Health,SUP006,13.77,26.19,2025-06-02,False,True
SKU0088,Daily Shampoo Blend,Morrow Essentials,Haircare,Shampoo,SUP012,11.25,18.75,2025-04-21,False,True
SKU0089,Calm Oral Care Therapy,Kindred Collective,Personal Care,Oral Care,SUP006,9.35,16.43,2025-04-14,False,True
SKU0090,Pure Fitness Ritual,Morrow Essentials,Wellness,Fitness,SUP012,14.70,32.94,2025-02-24,True,True
SKU0091,Active Pain Relief Care,Kindred Collective,Pharmacy Essentials,Pain Relief,SUP006,3.73,7.21,2025-06-16,False,True
SKU0092,Fresh Serums Boost,Juniper Essentials,Skincare,Serums,SUP005,27.90,43.38,2025-03-24,False,True
SKU0093,Restore Lips Solution,Aster Collective,Cosmetics,Lips,SUP011,15.89,25.24,2025-04-28,False,True
SKU0094,Essential Immunity Formula,Juniper Essentials,Vitamins & Supplements,Immunity,SUP005,25.08,54.79,2025-04-28,False,True
SKU0095,Glow Treatment Complex,Aster Collective,Haircare,Treatment,SUP011,10.48,18.74,2025-06-09,False,True
SKU0096,Daily Deodorant Blend,Juniper Essentials,Personal Care,Deodorant,SUP005,20.74,39.94,2025-06-02,False,True
